;plot;layer;EBEN;HO02;STU01;GAS01;UNT01;MANFR.09;MANFR.10;MANFR.04;GWABL01;MANFR.07;NIKOLS02;NIKOLS01;ZAJACH01;MANFR.08;MANFR.05;EICHIG02;LAN02;LAN01;MANFR.06;HABICH01;UPEISCH01;MANFR.11;EBENP01;MANFR.12;MANFR.13;EICHIG01;NÖRSACH02;NÖRSACH01;ZIRL02;MANFR.15;ZIRL01;MANFR.20;MANFR.14;MANFR.17;MANFR.18;MANFR.22;MANFR.19;MÜN01;MOE01;MÜN02;MOE02;AMP01;BRI01;KRA01;JEN02;JEN01;MANFR.16;MANFR.21;3033;SON01;AMP03;9005;6009;MANFR.23;6001;6004;SON02;6005;3003;3004;AMP02;ABS01;VOM01;BAU02;VOL01;KIR02;TER02;FRI01;MANFR.24;KIR03;VOL02;TER03;HO01;3034;STAMS01;STAMS02;STAMS03
;forest type;;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE1Qlu;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE3Qbr;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;wE6Osv;WE6Qte;WE6Qte;WE6Qte;WE6Qte;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;wE6Ecw;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE6Eca;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi;ZE2Qmi
;Geum urbanum;K;r;r;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;+;.;.;.;.;2a;1;1;+;1;1;+;1;+;+;1;+;+;+;1;+
;Ajuga reptans;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;+;.;.;+;.;.;1;.;+;.;+;+;.;.;.;.
;Viola reichenbachiana;K;.;.;.;.;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;+;.;.;+;.;.;.;.;.;.;.;+;.;.;.;+;.
;Paris quadrifolia;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;+;.;.;.;.;.;+
;Anemone nemorosa;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;2b;.;.;+;.;2a;.;.;.;.;.;.;.
;Impatiens parviflora;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;2b;.;+;.;.;.;2a;.;.;.;.;.;.
;Galeopsis tetrahit;K;+;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;+;.;.;+;.;+;1;.;.;.;+;.;+;+;.
;Oxalis acetosella;K;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;.;.;.;.;.;+;.;1;.;.;.;.;+;1;.;2m;1;1;2b;1
;Actaea spicata;K;.;.;.;.;.;+;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;+;.;+;.;.;+;.;+;.;.;.;.;.;+;+;+;+;+
;Dryopteris filix-mas;K;+;.;1;.;r;+;+;.;r;+;+;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;2a;.;.;.;.;.;.;.;+;1;r;+;+;1;+;+;+;1
;Lamiastrum montanum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;+;2b;.;2a;.;.;+;.;.;.;.;1;3;3;2b;3;3;2b;2a
;Glechoma hederacea;K;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;+;.;.;1;.;+;1;+;.;.;.;.
;Adoxa moschatellina;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;1;.;+;.;.;.;.;.;.;.
;Carex muricata agg.;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;2a;.;+;.;.;.;.;.;.;.;.;.;.;.
;Cardamine impatiens;K;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;2m;r;.;+;+;+;+;.;.;.;.;.
;Moehringia trinervia;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;1;.;+;.;+;.;+;.;.;.;.;.
;Allium oleraceum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;+;.;.;.;.;.;.;.;.;.
;Athyrium filix-femina;K;r;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;+;.;.;+;.
;Epilobium montanum;K;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;+;+;.;.;.;.
;Asarum europaeum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;+;.;.;1;1;1;1
;Milium effusum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;1;1;2a;2m
;Urtica dioica;K;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;+;+;+;+
;Impatiens noli-tangere;K;2a;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+
;Stellaria nemorum;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;1;+
;Scrophularia nodosa;K;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;r;.;1;.;.;+;.;.;.;.;.
;durchgehende Arten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pteridium aquilinum;K;.;.;.;.;.;.;.;.;.;.;+;r;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Senecio ovatus;K;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.
;Valeriana tripteris;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Hieracium murorum/bifidum;K;.;.;+;2a;+;1;2a;1;+;+;1;+;+;.;1;+;1;+;1;+;+;1;+;.;.;.;+;.;.;.;.;+;.;+;+;+;+;+;.;+;+;.;.;+;+;.;.;1;+;1;1;+;.;.;.;.;1;.;.;.;.;.;.;+;.;.;.;+;.;.;.;+;.;.;.;.;.
;Polygonatum odoratum;K;.;.;.;.;.;+;.;.;+;.;+;.;r;+;.;1;+;1;.;r;1;2m;1;+;+;+;+;1;1;1;+;1;.;.;.;+;+;1;1;+;1;.;1;.;.;.;+;1;1;.;+;.;.;+;.;.;.;.;.;.;+;.;+;1;+;.;.;1;.;.;.;.;.;.;.;.;.
;Vincetoxicum hirundinaria;K;.;.;1;+;+;+;1;.;+;1;1;.;.;+;2m;1;1;2a;.;+;+;2m;2b;2a;+;.;+;1;+;+;+;1;1;2b;2a;1;1;1;2a;1;2a;1;1;.;+;.;+;1;2a;.;+;+;+;+;+;+;.;+;.;.;.;.;+;1;.;.;+;+;.;.;.;+;.;+;.;.;.
;Melica nutans;K;.;.;+;1;1;+;1;.;+;1;1;.;+;.;1;.;.;.;.;+;.;.;1;1;+;.;+;2m;1;1;+;1;.;+;1;.;+;2a;1;1;2m;1;+;+;2a;1;1;1;+;1;2m;.;+;1;1;+;+;1;.;+;1;.;.;.;.;.;.;+;.;.;+;+;.;.;.;+;.
;Clinopodium vulgare;K;.;.;.;+;+;1;.;+;.;1;1;.;.;1;.;.;.;.;.;.;.;.;+;.;.;.;+;1;.;.;+;.;.;1;.;+;.;.;.;.;.;2a;.;+;.;.;+;.;.;.;.;+;.;.;r;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.
;Salvia glutinosa;K;.;.;+;.;1;1;.;.;+;2a;2a;.;.;1;2m;.;.;.;+;+;.;.;.;+;1;.;1;2a;.;.;.;1;+;+;1;2a;+;+;.;1;.;+;.;.;.;+;1;2a;.;+;+;1;+;2a;1;.;+;+;+;1;+;.;.;.;.;.;.;+;2a;.;.;1;.;.;.;+;.
;Solidago virgaurea;K;.;.;2m;2a;1;+;1;+;1;.;1;+;+;+;.;+;+;1;.;+;+;.;+;.;+;.;+;+;1;+;.;+;+;.;.;+;1;.;r;+;.;1;+;+;+;+;+;1;+;1;2a;+;.;.;.;.;1;+;1;+;2a;.;+;.;+;.;.;.;+;.;.;1;.;+;.;.;.
;Seseli libanotis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;1;.;.;.;.;.;.;+;.;r;+;.;.;+;.;1;r;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Carex montana;K;.;.;.;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;1;.;+;.;.;.;.;.;2m;2a;.;+;.;2a;+;2a;.;1;+;+;.;.;.;.;2m;.;1;+;+;+;.;2a;.;.;1;+;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.
;Convallaria majalis;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;.;.;2a;.;2a;.;.;.;.;.;.;1;.;.;2a;+;.;.;.;.;.;.;.;.;2a;.;.;.;r;.;.;.;.;.;.;.;.;+;.;.;.
;Poa nemoralis;K;+;+;+;1;+;2a;1;.;2m;.;+;.;+;.;+;1;.;.;+;+;1;1;1;.;+;2a;+;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2a;.;.;1;.;.;1;.;.;2m;2a;.;.;2a;.;1;.;.;2m;+;.;2m;2m;+;1;+;1;.;.;.
;Betonica officinalis;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;+;1;.;+;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.
;Alliaria petiolata;K;.;.;+;.;.;.;.;.;+;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;1;.;.;.
;Ajuga genevensis;K;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.
;Stachys sylvatica;K;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.
;Lapsana communis;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.
;Solanum dulcamara;H;.;.;r;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;1;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Phyteuma spicatum;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Veronica urticifolia;K;.;.;.;.;.;.;1;+;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;+;.;1;.;.;.;.;.;.;.;.;.;r;.;.;+;.;.;.
;Taraxacum officinale agg.;K;r;.;.;.;r;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;+;.;+;+;+;+;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;+;1;+;.;+;.;+;.;.;+;.;.;.;.;.;+;r;+;1;.;.;.;.;.;+;.;.;.;.;.
;Carex ornithopoda;K;.;.;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;+;.;1;.;.;1;.;.;.;.;.;.;.;.;1;+;.;+;.;.;.;.;+;+;.;.;.;.;.;+;.;+;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.
;Galium mollugo agg.;K;.;.;.;r;.;+;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;+;.;.;.;+;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;+;.;+;.;.;.;+;.;.;.;.;.;.;.
;Inula conyza;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Lathyrus pratensis;K;.;.;.;.;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.
;Dactylis glomerata;K;+;.;+;+;.;.;.;.;r;.;.;.;.;.;1;.;.;.;.;+;.;.;+;.;1;+;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;+;.;+;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.
;Viola collina;K;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;1;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.
;Viola hirta;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;1;.;.;+;.;.;.;.;+;.;+;+;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.
;Vicia cracca;K;.;.;.;.;.;.;+;.;.;.;.;.;.;.;2a;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Vicia sepium;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;1;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Viola riviniana;K;r;.;+;+;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.
;Primula elatior;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Primula veris;K;.;.;.;.;.;.;.;.;.;+;.;.;r;.;.;1;.;.;.;.;.;.;.;.;+;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;+;+;.;.;.;.;.;.;.;+;.;.;.;.;.
;Campanula rapunculoides;K;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;.;.;.;2b;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Rosa sp.;S;.;.;.;.;.;.;.;.;.;.;+;.;.;+;.;+;.;+;.;+;+;+;.;+;+;.;.;.;+;.;.;.;.;.;1;+;.;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;+;.;.;.;.;.;.;.;.
;Rosa sp.;H;.;.;+;+;.;.;.;.;.;+;.;.;.;1;.;+;+;.;+;+;+;.;.;+;.;+;r;.;.;.;.;+;.;.;.;+;.;.;.;.;r;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;+;.;.;.;.;.;.;.;.
;Geranium robertianum;K;.;.;+;.;.;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;1;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;1;1;.;.;.;.;.;.;.
;Rubus idaeus;K;r;.;+;.;+;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;+;.;.;+;.;.;.;+;.;+;.;.;.;.;.;.
;Lonicera alpigena;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Malus domestica;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Castanea sativa;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Viscum album;B;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Viscum laxum;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Aesculus hippocastanum;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Aesculus hippocastanum;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Aesculus hippocastanum;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Alnus incana;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.
;Alnus incana;S;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;Alnus incana;H;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.
