taxon,layer,EBEN,HO02,STU01,GAS01,UNT01,MANFR.09,MANFR.10,MANFR.04,GWABL01,MANFR.07,NIKOLS02,NIKOLS01,ZAJACH01,MANFR.08,MANFR.05,EICHIG02,LAN02,LAN01,MANFR.06,HABICH01,UPEISCH01,MANFR.11,EBENP01,MANFR.12,MANFR.13,EICHIG01,NÖRSACH02,NÖRSACH01,ZIRL02,MANFR.15,ZIRL01,MANFR.20,MANFR.14,MANFR.17,MANFR.18,MANFR.22,MANFR.19,MÜN01,MOE01,MÜN02,MOE02,AMP01,BRI01,KRA01,JEN02,JEN01,MANFR.16,MANFR.21,3033,SON01,AMP03,9005,6009,MANFR.23,6001,6004,SON02,6005,3003,3004,AMP02,ABS01,VOM01,BAU02,VOL01,KIR02,TER02,FRI01,MANFR.24,KIR03,VOL02,TER03,HO01,3034,STAMS01,STAMS02,STAMS03
Urtica dioica,hl,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,+,+,+,+,+
Impatiens noli-tangere,hl,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+
Stellaria nemorum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,+
Scrophularia nodosa,hl,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,r,.,1,.,.,+,.,.,.,.,.
Pteridium aquilinum,hl,.,.,.,.,.,.,.,.,.,.,+,r,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Senecio ovatus,hl,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.
Valeriana tripteris,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Hieracium murorum/bifidum,hl,.,.,+,2a,+,1,2a,1,+,+,1,+,+,.,1,+,1,+,1,+,+,1,+,.,.,.,+,.,.,.,.,+,.,+,+,+,+,+,.,+,+,.,.,+,+,.,.,1,+,1,1,+,.,.,.,.,1,.,.,.,.,.,.,+,.,.,.,+,.,.,.,+,.,.,.,.,.
Polygonatum odoratum,hl,.,.,.,.,.,+,.,.,+,.,+,.,r,+,.,1,+,1,.,r,1,2m,1,+,+,+,+,1,1,1,+,1,.,.,.,+,+,1,1,+,1,.,1,.,.,.,+,1,1,.,+,.,.,+,.,.,.,.,.,.,+,.,+,1,+,.,.,1,.,.,.,.,.,.,.,.,.
Vincetoxicum hirundinaria,hl,.,.,1,+,+,+,1,.,+,1,1,.,.,+,2m,1,1,2a,.,+,+,2m,2b,2a,+,.,+,1,+,+,+,1,1,2b,2a,1,1,1,2a,1,2a,1,1,.,+,.,+,1,2a,.,+,+,+,+,+,+,.,+,.,.,.,.,+,1,.,.,+,+,.,.,.,+,.,+,.,.,.
Melica nutans,hl,.,.,+,1,1,+,1,.,+,1,1,.,+,.,1,.,.,.,.,+,.,.,1,1,+,.,+,2m,1,1,+,1,.,+,1,.,+,2a,1,1,2m,1,+,+,2a,1,1,1,+,1,2m,.,+,1,1,+,+,1,.,+,1,.,.,.,.,.,.,+,.,.,+,+,.,.,.,+,.
Clinopodium vulgare,hl,.,.,.,+,+,1,.,+,.,1,1,.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,+,1,.,.,+,.,.,1,.,+,.,.,.,.,.,2a,.,+,.,.,+,.,.,.,.,+,.,.,r,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.
Salvia glutinosa,hl,.,.,+,.,1,1,.,.,+,2a,2a,.,.,1,2m,.,.,.,+,+,.,.,.,+,1,.,1,2a,.,.,.,1,+,+,1,2a,+,+,.,1,.,+,.,.,.,+,1,2a,.,+,+,1,+,2a,1,.,+,+,+,1,+,.,.,.,.,.,.,+,2a,.,.,1,.,.,.,+,.
Solidago virgaurea,hl,.,.,2m,2a,1,+,1,+,1,.,1,+,+,+,.,+,+,1,.,+,+,.,+,.,+,.,+,+,1,+,.,+,+,.,.,+,1,.,r,+,.,1,+,+,+,+,+,1,+,1,2a,+,.,.,.,.,1,+,1,+,2a,.,+,.,+,.,.,.,+,.,.,1,.,+,.,.,.
Seseli libanotis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,1,.,.,+,.,.,.,.,1,.,.,.,.,.,.,+,.,r,+,.,.,+,.,1,r,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Carex montana,hl,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,1,.,+,.,.,.,.,.,2m,2a,.,+,.,2a,+,2a,.,1,+,+,.,.,.,.,2m,.,1,+,+,+,.,2a,.,.,1,+,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.
Convallaria majalis,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,.,.,.,.,.,2a,.,2a,.,.,.,.,.,.,1,.,.,2a,+,.,.,.,.,.,.,.,.,2a,.,.,.,r,.,.,.,.,.,.,.,.,+,.,.,.
Poa nemoralis,hl,+,+,+,1,+,2a,1,.,2m,.,+,.,+,.,+,1,.,.,+,+,1,1,1,.,+,2a,+,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,1,.,.,1,.,.,2m,2a,.,.,2a,.,1,.,.,2m,+,.,2m,2m,+,1,+,1,.,.,.
Betonica officinalis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,+,1,.,+,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Alliaria petiolata,hl,.,.,+,.,.,.,.,.,+,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.
Ajuga genevensis,hl,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
Stachys sylvatica,hl,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
Lapsana communis,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
Solanum dulcamara,hl,.,.,r,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,1,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Phyteuma spicatum,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Veronica urticifolia,hl,.,.,.,.,.,.,1,+,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,+,.,1,.,.,.,.,.,.,.,.,.,r,.,.,+,.,.,.
Taraxacum officinale agg.,hl,r,.,.,.,r,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,+,.,+,+,+,+,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,+,1,+,.,+,.,+,.,.,+,.,.,.,.,.,+,r,+,1,.,.,.,.,.,+,.,.,.,.,.
Carex ornithopoda,hl,.,.,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,1,.,.,1,.,.,.,.,.,.,.,.,1,+,.,+,.,.,.,.,+,+,.,.,.,.,.,+,.,+,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
Galium mollugo agg.,hl,.,.,.,r,.,+,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,+,+,.,+,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,+,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,+,.,+,.,.,.,+,.,.,.,.,.,.,.
Inula conyza,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Lathyrus pratensis,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.
Dactylis glomerata,hl,+,.,+,+,.,.,.,.,r,.,.,.,.,.,1,.,.,.,.,+,.,.,+,.,1,+,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,+,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,+,.,.,.,.,.
Viola collina,hl,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,1,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.
Viola hirta,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,1,.,.,+,.,.,.,.,+,.,+,+,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
Vicia cracca,hl,.,.,.,.,.,.,+,.,.,.,.,.,.,.,2a,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Vicia sepium,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Viola riviniana,hl,r,.,+,+,.,+,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.
Primula elatior,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Primula veris,hl,.,.,.,.,.,.,.,.,.,+,.,.,r,.,.,1,.,.,.,.,.,.,.,.,+,+,+,+,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,+,+,+,.,.,.,.,.,.,.,+,.,.,.,.,.
Campanula rapunculoides,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,+,.,.,.,.,2b,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa sp.,sl,.,.,.,.,.,.,.,.,.,.,+,.,.,+,.,+,.,+,.,+,+,+,.,+,+,.,.,.,+,.,.,.,.,.,1,+,.,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,+,.,.,.,.,.,.,.,.
Rosa sp.,hl,.,.,+,+,.,.,.,.,.,+,.,.,.,1,.,+,+,.,+,+,+,.,.,+,.,+,r,.,.,.,.,+,.,.,.,+,.,.,.,.,r,+,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,+,.,.,.,.,.,.,.,.
Geranium robertianum,hl,.,.,+,.,.,.,.,.,+,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,1,.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.
Rubus idaeus,hl,r,.,+,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,+,.,.,+,.,.,.,+,.,+,.,.,.,.,.,.
Lonicera alpigena,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Malus domestica,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Castanea sativa,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Viscum album,tl,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Viscum laxum,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aesculus hippocastanum,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aesculus hippocastanum,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aesculus hippocastanum,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alnus incana,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.
Alnus incana,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Alnus incana,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.
Malus sylvestris,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Robinia pseudacacia,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Robinia pseudacacia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Tilia x vulgaris,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cotinus coggygria,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2a,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Cotinus coggygria,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Salix caprea,tl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Salix caprea,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.
Salix caprea,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Crataegus laevigata agg.,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Abies alba,hl,.,+,.,.,.,+,.,.,.,.,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa pendulina,sl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa pendulina,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa agrestis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa rubiginosa ,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa canina agg.,sl,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa canina agg.,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.
Rosa coriifolia,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rosa arvensis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ribes alpinum,hl,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Ribes sp.,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,r,.,.,.,.,+,.,.,.,.,.,.,.,.,+,+,.,.,.,.,1
Ribes uva-crispa,hl,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Rubus caesius,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,1,.,.,+,.,+,1,.,.,.,.,.,.,.,.,1,.,+,.,.,.,.,.,.,+,.,.,+,.,.,.,+,.,1,+,+,.,.,1,.,.,.,.,.,.,.,.,.,.
Rubus fruticosus agg.,hl,1,1,2a,+,2b,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,+,1,+,1,.,.,.,.,.,1,.,+,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,+,1,+,.,.,.
Cotoneaster horizontalis,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Senecio rupestris,hl,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,+,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
