"plot";"abbr";"layer";"cov";"voucher";"comment";"history"
"H1-07";"poa prat";"hl";3;;;
"H1-07";"poly amar ella";"hl";2;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-07";"pote erec";"hl";3;;;
"H1-07";"prim fari";"hl";3;;;
"H1-07";"prun vulg";"hl";3;;;
"H1-07";"ranu nemo";"hl";4;;;
"H1-07";"thym prae prae";"hl";2;;;
"H1-07";"trif prat prat";"hl";3;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
"H1-07";"trif repe repe";"hl";3;;;
"H1-08";"achi mill";"hl";3;;;
"H1-08";"alch spec ies";"hl";3;;;" | Changed alch vulg To alch spec ies 2012-11-27 18:46:55"
"H1-08";"briz medi";"hl";3;;;
"H1-08";"care cary";"hl";3;;;
"H1-08";"care flac";"hl";4;;;
"H1-08";"care flav aggr";"hl";3;;;" | Changed care flav To care flav aggr 2012-11-27 18:46:59"
"H1-08";"care pani";"hl";6;;;
"H1-08";"cent jace jace";"hl";4;;;
"H1-08";"desc cesp";"hl";3;;;
"H1-08";"fest prat prat";"hl";3;;;
"H1-08";"frax exce";"hl";1;;;
"H1-08";"gent ascl";"hl";3;;;
"H1-08";"gymn cono cono";"hl";2;;;" | Changed gymn cono To gymn cono cono 2012-11-27 18:46:57"
"H1-08";"junc arti";"hl";2;;;
"H1-08";"leon hisp hyos";"hl";4;;;
"H1-08";"leuc ircu";"hl";3;;;
"H1-08";"lotu corn corn";"hl";3;;;
"H1-08";"ophr inse";"hl";2;"2009-0070";;
"H1-08";"pers vivi";"hl";4;;;" | Changed poly vivi To pers vivi 2012-11-27 18:46:56"
"H1-08";"phyt orbi";"hl";2;;;
"H1-08";"pimp majo slat";"hl";2;;;" | Changed pimp majo To pimp majo slat 2012-11-27 18:46:56"
"H1-08";"plan lanc";"hl";3;;;
"H1-08";"poly amar ella";"hl";3;;;" | Changed poly amar To poly amar ella 2012-11-27 18:46:56"
"H1-08";"popu trem";"hl";3;;;
"H1-08";"pote erec";"hl";4;;;
"H1-08";"prim fari";"hl";3;;;
"H1-08";"prun vulg";"hl";3;;;
"H1-08";"ranu nemo";"hl";3;;;
"H1-08";"tofi caly";"hl";2;;;
"H1-08";"trif prat prat";"hl";4;;;" | Changed trif prat To trif prat prat 2012-11-27 18:46:57"
