taxon;abbr;layer;comment;3-W-Fe;4-Wi-Fe;5-Wi-Fe;6-Wi-Fe;7-Wi-Fe;20-Wi-F;21-G-F;21b-W-F;22-W-F;22b-G-F;38-F-G;39-F-W;40-F-W;41-F-Wi;42-F-W;43-F-W;61-V-F;62-G-F;63-G-F;64-W-F;65-W-F;66-W-F;67-G-F;68-W-M;69-W-M;70-W-F;71-W-F;72-W-F;73-TR-F;74-G-F;75-W-F;76-Wi-F;77-G-F;77a-G-F;87-G-F;87a-G-F;88-W-F;89-W-F;90-G-F
Poa nemoralis;poa nemo;hl;;;;;;;;;;;;1;;;;;;;;;;1;2b;;;;;;;;;;;;;;;;;
Poa pratensis;poa prat;hl;;2b;2b;3;2b;2m;2a;;;;;;;;;;;;;;;;;;;;;;;;2a;;1;;;+;;;;
Poa trivialis;poa triv;hl;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2m;;;2m
Polygonatum multiflorum;poly mult;hl;;;;;;;;;r;+;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;
Polygonum aviculare;poly avic slat;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;+;;;;;;
Populus balsamifera;popu bals;tl1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;
Populus canadensis;popu cana;tl1;;;;;;;;;;;;;2a;;;;;;;;;;2b;;;;;;;;;;;;;2b;;;2b;
Populus canadensis;popu cana;tl2;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;+;;;;2b;
Populus nigra;popu nigr;tl1;;;;;;;;;2b;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Populus spec.;popu spec ies;tl1;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;
Populus spec.;popu spec ies;tl2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potentilla spec;pote spec ies;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;
Primula elatior;prim elat;hl;;;;;;;;;;;;;+;;;;;;;;;;+;;+;;;;;;;;;;;;;;;
Prunella vulgaris;prun vulg;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;
