plot,cov,hcov,mcov,hhl1,hhl2,scov,hsl,t1cov,t2cov,htl1,htl2,plsx,plsy,aspect,slope,rock,bare,stones,date,longitude,latitude,accuracy,elevation,ffh.code,alliance.code,alliance,geology1,geology2,comment,locality,habitat,observer
rk061,20,20,0,"0,2","0,8",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-02,13.37948,46.70786,10,1154,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk062,25,25,0,"0,05","0,7",0,0,0,0,0,0,4,4,SSE,35,0,0,0,2018-07-02,13.37924,46.70789,10,1161,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk063,26,25,1,"0,1","0,6",0,0,0,0,0,0,4,4,SSE,30,0,0,0,2018-07-02,13.37925,46.70814,10,1174,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk064,30,30,0,"0,03","0,6",0,0,0,0,0,0,4,4,SSE,30,0,0,0,2018-07-02,13.37905,46.70834,10,1196,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk065,3,3,0,"0,05","0,2",0,0,0,0,0,0,4,4,S,65,0,0,0,2018-07-02,13.37971,46.70862,10,1221,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk066,40,40,0,"0,2","0,5",0,0,0,0,0,0,4,4,S,30,0,0,0,2018-07-02,13.37946,46.70765,10,1142,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, Peloschen S-Hang oberhalb Kleine Steinwand",montane Kalk-Schutthalde,R. Kaiser
rk067,40,25,2,"0,05","0,25",15,"1,2",0,0,0,0,4,4,SSE,35,0,0,0,2018-07-02,13.45370,46.70370,10,895,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, NW Kavallar",montane Kalk-Schutthalde,R. Kaiser
rk068,6,5,1,"0,15","0,3",5,3,0,0,0,0,4,4,SSE,30,0,0,0,2018-07-02,13.45373,46.70365,10,889,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, NW Kavallar",montane Kalk-Schutthalde,R. Kaiser
rk069,7,7,0,"0,2","0,3",0,0,0,0,0,0,4,4,SSE,30,0,0,0,2018-07-02,13.45386,46.70366,10,887,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gailtaler Alpen, NW Kavallar",montane Kalk-Schutthalde,R. Kaiser
rk070,7,7,0,"0,25","0,3",0,0,0,0,0,0,4,4,SSE,35,0,0,0,2018-07-02,13.23041,46.69118,10,1030,8160,THL-05C,Stipion calamagrostis Jenny-Lips ex Br.-Bl. 1950,NA,NA,,"Gitschtal, Motschniggraben",montane Kalk-Schutthalde,R. Kaiser
