plot,abbr,layer,cover,voucher,comment,compare,history
rk025,dory germ,hl,1,,,,
rk025,erys andr,hl,+,2018-0177,,,
rk025,gali pycn,hl,+,2018-0178,,,
rk025,hype perf,hl,r,2018-0176,,,
rk025,inul ensi,hl,+,,,,
rk025,ligu vulg,hl,r,,,,
rk025,linu tenu,hl,+,,,,
rk025,meli cili,hl,+,,,,
rk025,micr perf,hl,r,,,,
rk025,onon pusi,hl,r,,voucher lost?,,
rk025,prun maha,hl,r,,,,
rk025,rosa cani,hl,+,,,,
rk025,sang mino mino,hl,r,,,,
rk025,scab ochr,hl,r,,,,
rk025,scab tria,hl,r,,cf.,,
rk025,sedu albu,hl,+,,,,
rk025,sese osse,hl,+,,,,
rk025,teuc cham,hl,+,,,,
rk025,thym odor,hl,r,2018-0175,,,
rk025,crat mono,sl,1,,,,
rk026,clin acin,hl,+,,,,
rk026,corn sang slat,hl,+,,,,
rk026,dory germ,hl,+,,,,
rk026,erys andr,hl,+,,erys andr,ok,
rk026,hype perf,hl,r,,hype perf,ok,
rk026,inul ensi,hl,+,,,,
rk026,lapp squa,hl,r,2018-0181,,,
rk026,linu tenu,hl,+,,,,
rk026,meli cili,hl,1,,,,
rk026,micr perf,hl,r,,,,
rk026,orig vulg,hl,+,,,,
rk026,prun maha,hl,+,,,,
rk026,sang mino mino,hl,+,,,,
rk026,sedu albu,hl,+,,,,
rk026,sese osse,hl,1,,,,
rk026,teuc cham,hl,+,,,,
rk026,corn sang slat,sl,+,,,,
rk026,prun maha,sl,1,,,,
rk027,aren serp,hl,+,,,,
rk027,camp sibi,hl,+,2018-0183,,,
rk027,clin acin,hl,+,,,,
rk027,clin vulg vulg,hl,r,,,,
rk027,corn sang slat,hl,+,,,,
rk027,cory avel,hl,r,,,,
rk027,dory germ,hl,+,,,,
rk027,erys andr,hl,+,,erys andr,ok,
rk027,geni pilo,hl,r,,,,
rk027,hier pilo aggr,hl,+,2018-0182,,,
rk027,hype perf,hl,+,,,,
rk027,inul ensi,hl,r,,,,
rk027,ligu vulg,hl,r,,,,
rk027,linu tenu,hl,+,,,,
rk027,meli cili,hl,1,,,,
rk027,onon pusi,hl,r,,onon pusi,ok,
rk027,prun maha,hl,+,,,,
rk027,pseu turr,hl,r,,,,
rk027,scab ochr,hl,+,,,,
rk027,sedu albu,hl,+,,,,
rk027,sile nuta nuta,hl,r,,,,
rk027,corn sang slat,sl,+,,,,
rk028,anth ramo,hl,+,,,,
rk028,aspe cyna,hl,+,,,,
rk028,camp sibi,hl,r,,,,
rk028,dory germ,hl,+,,,,
rk028,echi ritr,hl,r,,,,
rk028,erys andr,hl,+,2018-0158,,,
rk028,euph cypa,hl,+,,,,
rk028,fuma proc,hl,+,,,,
rk028,glob bisn,hl,r,,,,
rk028,heli canu,hl,2a,2018-0159,,,
rk028,horn petr,hl,+,2018-0188,,,
rk028,inul ensi,hl,1,,,,
rk028,juri moll,hl,+,,,,
rk028,linu tenu,hl,+,,,,
rk028,peuc oreo,hl,+,,,,
rk028,poly odor,hl,1,,,,
rk028,prun frut,hl,1,2018-0187,,,
rk028,prun maha,hl,+,,,,
rk028,sang mino mino,hl,+,,,,
rk028,sese liba liba,hl,r,,,,
rk028,sese osse,hl,+,,,,
rk028,stac rect rect,hl,r,,,,
rk028,stip penn aggr,hl,1,2018-0174,,,
rk028,teuc mont,hl,1,,,,
rk028,thym odor,hl,+,,thym odor,ok,
rk028,vinc hiru,hl,r,,,,
rk028,prun frut,sl,1,,,,
rk028,prun maha,sl,2a,,,,
rk029,acer camp,hl,r,,,,
rk029,arrh elat,hl,r,,,,
rk029,buph sali,hl,1,,,,
rk029,clem vita,hl,+,,,,
rk029,clin alpi alpi,hl,+,,,,
rk029,corn sang slat,hl,+,,,,
rk029,dory germ,hl,1,,,,
rk029,epip hell slat,hl,r,,,,
rk029,gali luci,hl,2b,,,,
rk029,hype perf,hl,+,,,,
rk029,lase sile sile,hl,+,,,,
rk029,leon inca,hl,r,,,,
rk029,lina geni,hl,+,,,,
rk029,lotu corn slat,hl,+,,,,
rk029,meli nuta,hl,r,,,,
rk029,orig vulg,hl,+,,,,
rk029,peuc aust,hl,+,,,,
rk029,prun maha,hl,+,,,,
rk029,sang mino mino,hl,+,,,,
rk029,secu vari,hl,1,,,,
rk029,verb chai aust,hl,+,,,,
rk029,prun maha,sl,+,,,,
rk030,anth ramo,hl,+,,,,
rk030,aren serp,hl,+,,,,
rk030,brac sylv,hl,2a,,,,
rk030,brom tect,hl,+,2018-0201,,,
rk030,camp rapu rapu,hl,+,,,,
rk030,camp trac,hl,+,,,,
rk030,clem vita,hl,1,,,,
rk030,clin acin,hl,+,,,,
rk030,corn sang slat,hl,+,,,,
rk030,eupa cann,hl,r,,,,
rk030,fall conv,hl,+,,,,
rk030,gali apar,hl,+,,,,
rk030,gali luci,hl,3,,,,
rk030,geum urba,hl,+,,,,
rk030,heli numm glab,hl,+,,,,
rk030,medi lupu,hl,r,,,,
rk030,meli cili,hl,1,,,,
rk030,nepe cata,hl,2a,,,,
rk030,orig vulg,hl,2a,,,,
rk030,pelt alli,hl,2a,,,,
rk030,rosa cani,hl,r,,,,
rk030,rubu sect rubu,hl,r,,,,
rk030,salv vert,hl,+,,,,
rk030,sang mino mino,hl,+,,,,
rk030,secu vari,hl,2a,,,,
rk030,sonc aspe aspe,hl,r,,,,
rk030,tana cory cory,hl,r,,,,
rk030,tara sect rude,hl,r,,,,
rk030,teuc botr,hl,1,,,,
rk030,teuc cham,hl,+,,,,
rk030,vinc hiru,hl,r,,,,
rk030,viol coll,hl,+,,,,
rk030,viol tric saxa,hl,+,,,,
rk031,achi mill aggr,hl,r,,,,
rk031,alys alys,hl,r,2018-0200,,,
rk031,aren serp,hl,r,,,,
rk031,aspl ruta,hl,r,,,,
rk031,brom tect,hl,r,,brom tect,ok,
rk031,ceri mino mino,hl,r,,,,
rk031,cirs vulg,hl,r,,,,
rk031,clem vita,hl,+,,,,
rk031,clin vulg vulg,hl,r,,,,
rk031,corn sang slat,hl,r,,,,
rk031,crep bien,hl,r,,,,
rk031,echi vulg,hl,r,,,,
rk031,fall conv,hl,+,,,,
rk031,fuma vail,hl,r,,,,
rk031,gali luci,hl,+,,,,
rk031,gera colu,hl,+,,,,
rk031,gera robe,hl,r,,,,
rk031,hype perf,hl,r,,,,
rk031,lina geni,hl,+,,,,
rk031,meli cili,hl,+,,,,
rk031,meli offi,hl,r,,,,
rk031,micr perf,hl,r,,,,
rk031,nepe cata,hl,+,,,,
rk031,orig vulg,hl,1,,,,
rk031,orob alba,hl,r,2018-0199,,,
rk031,papa dubi slat,hl,r,,,,
rk031,pelt alli,hl,+,,,,
rk031,rosa cani,hl,+,,,,
rk031,salv vert,hl,2b,,,,
rk031,sedu albu,hl,+,,,,
rk031,sile vulg vulg,hl,r,,,,
rk031,teuc botr,hl,1,,,,
rk031,teuc cham,hl,+,,,,
rk031,verb chai aust,hl,1,,,,
rk031,vinc hiru,hl,+,,,,
rk031,viol coll,hl,+,,,,
rk031,viol tric saxa,hl,+,,,,
rk032,ajug gene,hl,r,,,,
rk032,anth ramo,hl,+,,,,
rk032,anth vuln poly,hl,+,2018-0202,,,
rk032,arab hirs,hl,r,,,,
rk032,arrh elat,hl,r,,,,
rk032,aspe cyna,hl,r,,,,
rk032,buph sali,hl,+,,,,
rk032,card defl glau,hl,r,,,,
rk032,care hall,hl,1,2018-0203,,,
rk032,clem vita,hl,+,,,,
rk032,clin alpi alpi,hl,1,,,,
rk032,corn sang slat,hl,+,,,,
rk032,dact glom glom,hl,r,,,,
rk032,dian cart cart,hl,r,,,,
rk032,euph cypa,hl,+,,,,
rk032,gali luci,hl,2a,,,,
rk032,hype perf,hl,r,,,,
rk032,lina geni,hl,r,,,,
rk032,lotu corn slat,hl,+,,,,
rk032,medi lupu,hl,r,,,,
rk032,orig vulg,hl,1,,,,
rk032,orob alba,hl,r,2018-0197,,,
rk032,pinu nigr nigr,hl,r,,,,
rk032,prun maha,hl,r,,,,
rk032,quer pube pube,hl,r,,,,
rk032,rosa cani,hl,r,,,,
rk032,sang mino mino,hl,r,,,,
rk032,scab ochr,hl,r,,,,
rk032,secu vari,hl,+,,,,
rk032,sesl caer,hl,r,,,,
rk032,sile nuta nuta,hl,r,,,,
rk032,teuc mont,hl,+,,,,
rk032,vinc hiru,hl,+,,,,
rk032,prun maha,sl,+,,,,
rk033,arrh elat,hl,+,,,,
rk033,buph sali,hl,+,,,,
rk033,bupl falc falc,hl,+,,,,
rk033,clin vulg vulg,hl,+,,,,
rk033,digi gran,hl,r,,,,
rk033,euph cypa,hl,2m,,,,
rk033,gale angu,hl,+,,,,
rk033,gali luci,hl,1,,,,
rk033,gera robe,hl,+,,,,
rk033,lotu corn slat,hl,+,,,,
rk033,mela suba slat,hl,+,2018-0204,,,
rk033,sang mino mino,hl,r,,,,
rk033,secu vari,hl,+,,,,
rk033,sedu sexa,hl,1,,,,
rk033,verb chai aust,hl,r,,,,
rk034,arrh elat,hl,1,,,,
rk034,brac sylv,hl,+,,,,
rk034,bupl falc falc,hl,2a,,,,
rk034,camp pers,hl,r,,,,
rk034,clin alpi alpi,hl,r,,,,
rk034,clin vulg vulg,hl,1,,,,
rk034,corn sang slat,hl,r,,,,
rk034,dauc caro caro,hl,r,,,,
rk034,euph cypa,hl,+,,,,
rk034,gale angu,hl,+,,,,
rk034,gali luci,hl,1,,,,
rk034,gera robe,hl,+,,,,
rk034,hier spec ies,hl,r,,hier spec ies,ok,
rk034,lase sile sile,hl,r,,,,
rk034,ligu vulg,hl,r,,,,
rk034,lotu corn slat,hl,+,,,,
rk034,medi lupu,hl,r,,,,
rk034,mela suba slat,hl,3,,mela suba slat,ok,
rk034,pelt alli,hl,r,,,,
rk034,rham cath,hl,+,,,,
rk034,sang mino mino,hl,+,,,,
rk034,scab ochr,hl,+,,,,
rk034,secu vari,hl,2a,,,,
rk034,sedu sexa,hl,+,,,,
rk034,vale offi tenu,hl,r,,,,
rk034,verb chai aust,hl,+,,,,
rk034,vero aust,hl,r,,,,
rk034,vibu lant,hl,r,,,,
rk034,vinc hiru,hl,r,,,,
rk034,viol coll,hl,+,,,,
rk035,arrh elat,hl,+,,,,
rk035,clem vita,hl,r,,,,
rk035,euph poly,hl,+,,,,
rk035,gale angu,hl,2m,,,,
rk035,gera robe,hl,+,,,,
rk035,hier spec ies,hl,r,2018-0198,,,
rk035,hype perf,hl,r,,,,
rk035,lina vulg,hl,r,,,,
